"Sample Name"	"Common Name"	"SampleNumber"	"samBaseNum"	"Genus"	"Species"	"Coordinates"	"DNA"	"Tissue"	"Date"	"Number"	"Name collector"	"Sex"	"Split"	"Country"	"Locality"	"Comments"	"Sample"
"4271"	"eland"	"D2301170624"	72.02	"Taurotragus"	"oryx"	NA	NA	"skin"	NA	"BIS27"	"David Moyer"	NA	"+"	"Tanzania"	"Burko"	"Box1"	"ToryTan_0624"
"4272"	"eland"	"D2301170625"	83.18	"Taurotragus"	"oryx"	NA	"2271"	"skin"	NA	"BJO43"	"David Moyer"	NA	"+"	"Tanzania"	"Burko"	"Box1"	"ToryTan_0625"
"4273"	"eland"	"D2301170626"	74.68	"Taurotragus"	"oryx"	NA	"2224"	"skin"	NA	"CHO17"	"David Moyer"	NA	"+"	"Tanzania"	"Rungwa"	"Box1"	"ToryTan_0626"
"4490"	"eland"	"D2301170627"	72.7	"Taurotragus"	"oryx"	NA	NA	"skin"	NA	"BSB40"	"David Moyer"	NA	"+"	"Tanzania"	"Burko"	"Box1"	"ToryTan_0627"
"4491"	"eland"	"D2301170628"	77.96	"Taurotragus"	"oryx"	NA	NA	"skin"	NA	"AHG7"	"David Moyer"	NA	"+"	"Tanzania"	"Burko"	"Box1"	"ToryTan_0628"
"4493"	"eland"	"D2301170629"	70.58	"Taurotragus"	"oryx"	NA	"2272"	"skin"	"95-09-??"	NA	"David Moyer"	NA	"+"	"Tanzania"	"Selous"	"Box1"	"ToryTan_0629"
"4589"	"eland"	"D2301170630"	71.24	"Taurotragus"	"oryx"	NA	"2274"	"skin"	NA	NA	"?"	NA	"+"	"Zambia"	"Kafue N.P. (Mulobezi)"	"Box1"	"ToryZam_0630"
"5229"	"eland"	"D2301170631"	72.44	"Taurotragus"	"oryx"	NA	"2212"	"skin"	"96-09-24"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0631"
"5230"	"eland"	"D2301170632"	65.38	"Taurotragus"	"oryx"	NA	NA	"skin"	"96-10-11"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0632"
"5231"	"eland"	"D2301170633"	84.88	"Taurotragus"	"oryx"	NA	"2232"	"skin"	"96-10-09"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0633"
"5656"	"eland"	"D2301170634"	80.08	"Taurotragus"	"oryx"	NA	"1463"	"skin"	NA	"MP 10"	"David Moyer"	NA	"+"	"Tanzania"	"Rungwa"	"Box1"	"ToryTan_0634"
"5657"	"eland"	"D2301170635"	68.5	"Taurotragus"	"oryx"	NA	"1464"	"skin"	NA	"HA 7"	"David Moyer"	NA	"+"	"Tanzania"	"Rungwa"	"Box1"	"ToryTan_0635"
"5658"	"eland"	"D2301170636"	60.32	"Taurotragus"	"oryx"	NA	"1465"	"skin"	"97-08-08"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Kizigo"	"Box1"	"ToryTan_0636"
"5659"	"eland"	"D2301170637"	55.7	"Taurotragus"	"oryx"	NA	"1466"	"skin"	"96-10-04"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Kizigo"	"Box1"	"ToryTan_0637"
"5661"	"eland"	"D2301170638"	50.6	"Taurotragus"	"oryx"	NA	"1468"	"skin"	"97-08-16"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0638"
"5662"	"eland"	"D2301170639"	59.2	"Taurotragus"	"oryx"	NA	"1469"	"skin"	"96-10-27"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0639"
"5663"	"eland"	"D2301170640"	75.06	"Taurotragus"	"oryx"	NA	"1470"	"skin"	"97-07-13"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0640"
"5664"	"eland"	"D2301170641"	71.46	"Taurotragus"	"oryx"	NA	"1471"	"skin"	"97-08-17"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Monduli"	"Box1"	"ToryTan_0641"
"5665"	"eland"	"D2301170642"	63.86	"Taurotragus"	"oryx"	NA	"1472"	"skin"	"97-07-03"	NA	"David Moyer"	"M"	"+"	"Tanzania"	"Monduli"	"Box1"	"ToryTan_0642"
"8390"	"eland"	"D2301170643"	65.24	"Taurotragus"	"oryx"	NA	NA	NA	NA	"SJJ 16"	NA	NA	"+"	"Tanzania"	"Rungwa"	"Box1"	"ToryTan_0643"
"8392"	"eland"	"D2301170644"	64.54	"Taurotragus"	"oryx"	NA	NA	NA	"97-08-28"	NA	NA	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0644"
"8393"	"eland"	"D2301170645"	55.14	"Taurotragus"	"oryx"	NA	NA	NA	"98-01-10"	NA	NA	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0645"
"8394"	"eland"	"D2301170646"	60.88	"Taurotragus"	"oryx"	NA	NA	NA	"97- 10-04"	NA	NA	"M"	"+"	"Tanzania"	"Kizigo"	"Box1"	"ToryTan_0646"
"8395"	"eland"	"D2301170647"	63.36	"Taurotragus"	"oryx"	NA	NA	NA	"97- 10-04"	NA	NA	"M"	"+"	"Tanzania"	"Kizigo"	"Box1"	"ToryTan_0647"
"8686"	"eland"	"D2301170649"	67.8	"Taurotragus"	"oryx"	NA	NA	NA	"98-07-29"	NA	NA	"M"	"+"	"Tanzania"	"Monduli"	"Box1"	"ToryTan_0649"
"8687"	"eland"	"D2301170650"	67.96	"Taurotragus"	"oryx"	NA	NA	NA	"98-08-31"	NA	NA	"M"	"+"	"Tanzania"	"Maswa"	"Box1"	"ToryTan_0650"
"8946"	"eland"	"D2301170651"	58.32	"Taurotragus"	"oryx"	"Kor. S03 12 908 E037 48 837"	NA	NA	"99-08-10"	"1811/99"	NA	"F"	"+"	"Kenya"	"Tsavo (Ziwani)"	"Box1"	"ToryKen_0651"
"9050"	"eland"	"D2301170652"	80.02	"Taurotragus"	"oryx"	"N06 07 594 E034 50 378"	"1660"	NA	"00-02-14"	"2144/00"	NA	"F"	NA	"Ethiopia"	"Omo NP"	"Box1"	"ToryEth_0652"
"9051"	"eland"	"D2301170653"	69.12	"Taurotragus"	"oryx"	"N06 000 E035 56 000"	"1661"	NA	"00-02-15"	"0"	NA	"F"	NA	"Ethiopia"	"Omo NP"	"Box1"	"ToryEth_0653"
"9052"	"eland"	"D2301170654"	63.98	"Taurotragus"	"oryx"	"N06 07 594 E034 50 378"	"1657"	NA	"00-02-14"	"2145/00"	NA	"F"	NA	"Ethiopia"	"Omo NP"	"Box1"	"ToryEth_0654"
"9053"	"eland"	"D2301170655"	64.08	"Taurotragus"	"oryx"	"N06 07 594 E034 50 378"	"1662"	NA	"00-02-14"	"2146/00"	NA	"M"	NA	"Ethiopia"	"Omo NP"	"Box1"	"ToryEth_0655"
"9076"	"eland"	"D2301170656"	63.2	"Taurotragus"	"oryx"	"Kor. S07 12 765 E035 00 733"	NA	NA	"00-01-18"	"2004/00"	NA	"M"	NA	"Tanzania"	"Ruaha central"	"Box1"	"ToryTan_0656"
"9103"	"eland"	"D2301170657"	60.4	"Taurotragus"	"oryx"	"Kor. S07 55 210 E035 10 220"	"2278"	NA	"00-01-18"	"2006/00"	NA	"F"	NA	"Tanzania"	"Ruaha central"	"Box1"	"ToryTan_0657"
"9105"	"eland"	"D2301170658"	64.04	"Taurotragus"	"oryx"	"Kor. S07 08 569 E035 03 688"	NA	NA	"00-01-18"	"2003/00"	NA	"M"	NA	"Tanzania"	"Ruaha central"	"Box1"	"ToryTan_0658"
"1909/4087"	"eland"	"D2301170948"	87.76	"Taurotragus"	"oryx"	NA	NA	NA	NA	NA	NA	NA	NA	"Kenya"	"Lac Loleit"	"Box7"	"ToryKen_0948"
"4767"	"giant eland"	"D2301170659"	66.24	"Taurotragus"	"derbianus"	NA	"10"	"skin"	"97-02-12"	NA	"Boerge Ladefoged"	"M"	NA	"Cameroun"	"Cameroun, N."	"Box1"	"TderCam_0659"
"4768"	"giant eland"	"D2301170660"	65.7	"Taurotragus"	"derbianus"	NA	"11"	"skin"	"97-01-12"	NA	"Boerge Ladefoged"	"M"	NA	"Cameroun"	"Cameroun, N."	"Box1"	"TderCam_0660"
"38221"	"giant eland"	"D2301170950"	77.02	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"Chad?"	"Zoo, poss Chad"	"Box7"	"TderCha_0950"
"53998"	"giant eland"	"D2301170954"	108.74	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"DRC"	"Belgian Congo"	"Box7"	"TderDRC_0954"
"81251"	"giant eland"	"D2301170955"	82.36	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"South Sudan"	"Amardi (Amadi?)"	"Box7"	"TderSSu_0955"
"53449A"	"giant eland"	"D2301170956"	98.12	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"DRC"	"Faradje"	"Box7"	"TderDRC_0956"
"75-33-m-4"	"giant eland"	"D2301170957"	90.1	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"Chad?"	"Zoo, poss Chad"	"Box7"	"TderCha_0957"
"CAM III 149"	"giant eland"	"D2301170958"	86.42	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"Cameroon?"	"CAMII"	"Box7"	"TderCam_0958"
"RC36493"	"giant eland"	"D2301170959"	50.24	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"Chad?"	"Zoo, poss Chad"	"Box7"	"TderCha_0959"
"RC-76-61-m-1"	"giant eland"	"D2301170960"	95.06	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"Chad?"	"Zoo, poss Chad"	"Box7"	"TderCha_0960"
"RG35722"	"giant eland"	"D2301170962"	66.58	"Taurotragus"	"derbianus"	NA	NA	NA	NA	NA	NA	NA	NA	"Chad?"	"Zoo, poss Chad"	"Box7"	"TderCha_0962"
