P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ToryEth	ToryZam	TstrNam	0.000282358	0.214901	0.829844	4.92694e+06	187574	187468
ToryEth	ToryZam	TstrRSA	0.000503404	0.353955	0.723373	4.92439e+06	187609	187421
ToryEth	ToryZam	TstrTan	0.000219426	0.16163	0.871597	4.92865e+06	187446	187364
ToryEth	ToryZam	TstrZam	0.000509058	0.367358	0.713352	4.92317e+06	187724	187533
ToryEth	ToryZam	TstrZim	0.000178316	0.133069	0.894138	4.92851e+06	187435	187368
ToryEth	ToryZim	TstrBot	0.00680216	6.41168	1.43925e-10	4.91043e+06	197875	195201
ToryEth	ToryZim	TstrBot_0757	0.0714574	49.5864	2.3e-16	3.49744e+06	309409	268139
ToryEth	ToryZim	TstrNA-	0.00653965	6.34871	2.17122e-10	4.93671e+06	196733	194176
ToryEth	ToryZim	TstrNam	0.00677023	6.60301	4.02882e-11	4.90914e+06	197765	195105
ToryEth	ToryZim	TstrRSA	0.00676565	6.33042	2.44502e-10	4.9066e+06	197727	195070
ToryEth	ToryZim	TstrTan	0.00663778	6.28981	3.1786e-10	4.91085e+06	197615	195009
ToryEth	ToryZim	TstrZam	0.00654238	6.19899	5.6827e-10	4.90544e+06	197820	195248
ToryEth	ToryZim	TstrZim	0.0065749	6.16823	6.90583e-10	4.91072e+06	197595	195014
TstrBot	TstrBot_0757	ToryEth	0.858572	484.383	2.3e-16	2.46935e+06	1.60831e+06	122384
TstrNA-	TstrBot	ToryEth	0.113006	51.2321	2.3e-16	3.428e+06	134479	107171
TstrBot	TstrNam	ToryEth	0.00574876	4.90681	9.25703e-07	3.46229e+06	104245	103053
TstrBot	TstrRSA	ToryEth	0.0185597	10.8645	2.3e-16	3.46898e+06	101383	97687.9
TstrTan	TstrBot	ToryEth	0.00310384	2.57223	0.0101046	3.4762e+06	99660.4	99043.7
TstrBot	TstrZam	ToryEth	0.0251128	17.0743	2.3e-16	3.4723e+06	102713	97680.3
TstrZim	TstrBot	ToryEth	0.00232976	2.27249	0.0230572	3.46592e+06	102177	101702
TstrNA-	TstrBot_0757	ToryEth	0.851223	502.279	2.3e-16	2.42702e+06	1.64548e+06	132242
TstrNam	TstrBot_0757	ToryEth	0.850359	469.449	2.3e-16	2.45025e+06	1.61537e+06	130638
TstrRSA	TstrBot_0757	ToryEth	0.852433	439.519	2.3e-16	2.45533e+06	1.61053e+06	128297
TstrTan	TstrBot_0757	ToryEth	0.854296	474.675	2.3e-16	2.46038e+06	1.61331e+06	126768
TstrZam	TstrBot_0757	ToryEth	0.850959	489.245	2.3e-16	2.45689e+06	1.61058e+06	129685
TstrZim	TstrBot_0757	ToryEth	0.852395	476.186	2.3e-16	2.45293e+06	1.6151e+06	128696
TstrNA-	TstrNam	ToryEth	0.109005	49.7641	2.3e-16	3.40324e+06	144975	116476
TstrNA-	TstrRSA	ToryEth	0.122207	47.549	2.3e-16	3.40965e+06	142346	111343
TstrNA-	TstrTan	ToryEth	0.107086	45.4536	2.3e-16	3.42104e+06	137970	111279
TstrNA-	TstrZam	ToryEth	0.12872	52.7881	2.3e-16	3.41654e+06	141793	109452
TstrNA-	TstrZim	ToryEth	0.105452	50.417	2.3e-16	3.41062e+06	140644	113811
TstrNam	TstrRSA	ToryEth	0.0120263	9.39879	2.3e-16	3.45546e+06	105314	102811
TstrTan	TstrNam	ToryEth	0.00826252	6.44401	1.16357e-10	3.45089e+06	110341	108533
TstrNam	TstrZam	ToryEth	0.0173724	10.6867	2.3e-16	3.44651e+06	112462	108621
TstrZim	TstrNam	ToryEth	0.00745236	6.0935	1.10469e-09	3.44124e+06	112657	110990
TstrTan	TstrRSA	ToryEth	0.0204379	13.8853	2.3e-16	3.45744e+06	107632	103321
TstrRSA	TstrZam	ToryEth	0.00628168	3.74468	0.000180626	3.45307e+06	107149	105811
TstrZim	TstrRSA	ToryEth	0.0193704	14.275	2.3e-16	3.44809e+06	109715	105545
TstrTan	TstrZam	ToryEth	0.0276049	16.3653	2.3e-16	3.46859e+06	105147	99497.6
TstrTan	TstrZim	ToryEth	0.000677	0.540078	0.589143	3.46107e+06	104766	104624
TstrZim	TstrZam	ToryEth	0.0259621	17.7493	2.3e-16	3.45593e+06	108820	103313
ToryRSA	ToryNam	ToryKen	0.0111931	9.97838	2.3e-16	398339	319797	312717
ToryKen	ToryTan	ToryNam	0.00300174	3.20205	0.00136452	372082	336166	334153
ToryNam	ToryZam	ToryKen	0.0184579	13.284	2.3e-16	374057	338055	325801
ToryZim	ToryNam	ToryKen	0.0145678	9.42137	2.3e-16	374911	357006	346754
ToryNam	ToryKen	TstrBot	0.00151795	1.51858	0.128869	4.91589e+06	191296	190716
ToryKen	ToryNam	TstrBot_0757	0.0215854	10.1102	2.3e-16	3.50884e+06	282336	270405
ToryNam	ToryKen	TstrNA-	0.00159454	1.54791	0.121643	4.94217e+06	190300	189694
ToryNam	ToryKen	TstrNam	0.00156167	1.50518	0.132277	4.91459e+06	191202	190605
ToryNam	ToryKen	TstrRSA	0.00143441	1.40558	0.159848	4.91198e+06	191148	190600
ToryNam	ToryKen	TstrTan	0.00151102	1.52763	0.126605	4.9163e+06	191080	190503
ToryNam	ToryKen	TstrZam	0.00164755	1.64639	0.0996838	4.91085e+06	191351	190721
ToryNam	ToryKen	TstrZim	0.00161764	1.61122	0.107132	4.91615e+06	191091	190473
ToryKen	ToryTan	ToryRSA	0.00232763	2.24106	0.0250221	378226	334772	333217
ToryRSA	ToryZam	ToryKen	0.0288205	17.8735	2.3e-16	371210	345073	325740
ToryZim	ToryRSA	ToryKen	0.00448891	2.52867	0.0114495	374565	354949	351776
ToryKen	ToryRSA	TstrBot	0.0010638	0.614278	0.539031	4.9095e+06	192390	191981
ToryKen	ToryRSA	TstrBot_0757	0.0197134	7.84385	4.36944e-15	3.50381e+06	283412	272454
ToryKen	ToryRSA	TstrNA-	0.000908235	0.532198	0.594589	4.93578e+06	191341	190994
ToryKen	ToryRSA	TstrNam	0.000868933	0.494239	0.621137	4.90822e+06	192249	191915
ToryKen	ToryRSA	TstrRSA	0.00108766	0.61393	0.539262	4.90558e+06	192249	191831
ToryKen	ToryRSA	TstrTan	0.000972701	0.564563	0.572371	4.90994e+06	192166	191792
ToryKen	ToryRSA	TstrZam	0.000841377	0.493107	0.621937	4.90448e+06	192381	192058
ToryKen	ToryRSA	TstrZim	0.000981819	0.574738	0.565469	4.90975e+06	192144	191767
ToryKen	ToryTan	ToryZam	0.00824815	10.0353	2.3e-16	359474	339350	333798
ToryKen	ToryTan	ToryZim	0.0133933	14.7172	2.3e-16	385263	346234	337082
ToryTan	ToryKen	TstrBot	0.00257095	2.96987	0.0029793	4.94339e+06	180869	179942
ToryKen	ToryTan	TstrBot_0757	0.00722091	8.15553	3.47595e-16	3.53499e+06	262388	258625
ToryTan	ToryKen	TstrNA-	0.00264769	3.05233	0.0022707	4.96972e+06	179921	178970
ToryTan	ToryKen	TstrNam	0.002528	2.8679	0.0041321	4.94209e+06	180769	179857
ToryTan	ToryKen	TstrRSA	0.00249767	2.81245	0.00491654	4.9395e+06	180743	179842
ToryTan	ToryKen	TstrTan	0.00258236	3.00906	0.00262061	4.94382e+06	180664	179733
ToryTan	ToryKen	TstrZam	0.00264673	3.09246	0.00198508	4.93833e+06	180908	179952
ToryTan	ToryKen	TstrZim	0.00256426	2.97871	0.00289463	4.94364e+06	180651	179727
ToryZim	ToryZam	ToryKen	0.0319042	19.7209	2.3e-16	369429	363959	341453
ToryZam	ToryKen	TstrBot	0.000991166	1.4134	0.157537	4.92533e+06	188486	188113
ToryKen	ToryZam	TstrBot_0757	0.0223801	14.8344	2.3e-16	3.5168e+06	278295	266111
ToryZam	ToryKen	TstrNA-	0.00111365	1.53888	0.123834	4.95164e+06	187525	187107
ToryZam	ToryKen	TstrNam	0.000960854	1.35542	0.175283	4.92403e+06	188390	188028
ToryZam	ToryKen	TstrRSA	0.000876341	1.23952	0.215153	4.92144e+06	188353	188023
ToryZam	ToryKen	TstrTan	0.000950401	1.34496	0.178639	4.92575e+06	188269	187911
ToryZam	ToryKen	TstrZam	0.000862325	1.24807	0.212004	4.92025e+06	188494	188169
ToryZam	ToryKen	TstrZim	0.00103938	1.44854	0.147466	4.92559e+06	188268	187877
ToryKen	ToryZim	TstrBot	0.00565191	6.41675	1.39214e-10	4.90975e+06	197634	195413
ToryKen	ToryZim	TstrBot_0757	0.0702764	49.5021	2.3e-16	3.49669e+06	309093	268502
ToryKen	ToryZim	TstrNA-	0.00529047	5.85486	4.77424e-09	4.93603e+06	196483	194415
ToryKen	ToryZim	TstrNam	0.00558046	6.23728	4.45231e-10	4.90846e+06	197517	195325
ToryKen	ToryZim	TstrRSA	0.00544616	5.96857	2.39336e-09	4.90588e+06	197437	195298
ToryKen	ToryZim	TstrTan	0.00551809	6.43213	1.25824e-10	4.91019e+06	197382	195216
ToryKen	ToryZim	TstrZam	0.00523014	6.22686	4.7587e-10	4.90475e+06	197559	195503
ToryKen	ToryZim	TstrZim	0.00540976	6.18713	6.12712e-10	4.91002e+06	197334	195211
TstrBot	TstrBot_0757	ToryKen	0.858506	489.662	2.3e-16	2.46898e+06	1.60862e+06	122469
TstrNA-	TstrBot	ToryKen	0.112842	53.2165	2.3e-16	3.42755e+06	134476	107205
TstrBot	TstrNam	ToryKen	0.00582166	5.04348	4.57151e-07	3.46184e+06	104266	103059
TstrBot	TstrRSA	ToryKen	0.0188903	11.0716	2.3e-16	3.46851e+06	101429	97668.1
TstrTan	TstrBot	ToryKen	0.00316631	2.59409	0.00948428	3.47577e+06	99687	99057.7
TstrBot	TstrZam	ToryKen	0.0254249	17.7017	2.3e-16	3.47184e+06	102764	97668.1
TstrZim	TstrBot	ToryKen	0.0023026	2.14885	0.0316461	3.46548e+06	102186	101716
TstrNA-	TstrBot_0757	ToryKen	0.851134	507.59	2.3e-16	2.42665e+06	1.64578e+06	132351
TstrNam	TstrBot_0757	ToryKen	0.850283	474.557	2.3e-16	2.44988e+06	1.61568e+06	130734
TstrRSA	TstrBot_0757	ToryKen	0.852341	446.015	2.3e-16	2.45492e+06	1.6108e+06	128404
TstrTan	TstrBot_0757	ToryKen	0.854234	480.868	2.3e-16	2.46002e+06	1.61364e+06	126852
TstrZam	TstrBot_0757	ToryKen	0.850855	495.147	2.3e-16	2.4565e+06	1.61087e+06	129807
TstrZim	TstrBot_0757	ToryKen	0.852333	480.453	2.3e-16	2.45256e+06	1.6154e+06	128779
TstrNA-	TstrNam	ToryKen	0.108899	51.9755	2.3e-16	3.40279e+06	144997	116518
TstrNA-	TstrRSA	ToryKen	0.122301	48.9816	2.3e-16	3.40917e+06	142387	111354
TstrNA-	TstrTan	ToryKen	0.106858	47.1393	2.3e-16	3.42061e+06	137984	111342
TstrNA-	TstrZam	ToryKen	0.128801	54.6768	2.3e-16	3.41606e+06	141834	109466
TstrNA-	TstrZim	ToryKen	0.105318	52.961	2.3e-16	3.41016e+06	140645	113843
TstrNam	TstrRSA	ToryKen	0.0122697	9.3332	2.3e-16	3.45499e+06	105356	102802
TstrTan	TstrNam	ToryKen	0.00838736	6.76254	1.35595e-11	3.45047e+06	110384	108548
TstrNam	TstrZam	ToryKen	0.0175863	11.0804	2.3e-16	3.44605e+06	112513	108624
TstrZim	TstrNam	ToryKen	0.00749479	6.07575	1.23412e-09	3.4408e+06	112681	111005
TstrTan	TstrRSA	ToryKen	0.0208068	14.5714	2.3e-16	3.45699e+06	107697	103306
TstrRSA	TstrZam	ToryKen	0.00626704	3.82598	0.000130255	3.45258e+06	107174	105839
TstrZim	TstrRSA	ToryKen	0.0196492	14.6788	2.3e-16	3.44762e+06	109766	105536
TstrTan	TstrZam	ToryKen	0.02797	16.7638	2.3e-16	3.46813e+06	105209	99483.8
TstrTan	TstrZim	ToryKen	0.000762943	0.61291	0.539936	3.46064e+06	104795	104636
TstrZim	TstrZam	ToryKen	0.0262318	18.0007	2.3e-16	3.45546e+06	108865	103300
ToryRSA	ToryNam	ToryTan	0.0118768	9.36889	2.3e-16	397602	321072	313535
ToryRSA	ToryNam	ToryZam	0.0153625	13.8338	2.3e-16	356336	326050	316183
ToryRSA	ToryNam	ToryZim	0.00824816	5.85773	4.69226e-09	388721	328084	322716
ToryNam	ToryRSA	TstrBot	0.00285698	1.85885	0.0630489	4.97627e+06	173539	172550
