0.00307408,0.000670421,-0.00330413,-0.000934973,0.00521776,0.0141195,0.00271433,0.00678155,0.000273803,-0.00254217,-0.00216217,0.00490726,0.00334418,0.00377402,0.00562085,0.0153024,-0.00450814,0.0116411,0.00666856,0.0132087	-0.918732,-0.913869,-0.929059,-0.931604,-0.923389,-0.927074,-0.927967,-0.922196,-0.929219,-0.924418,-0.930843,-0.924903,-0.928004,-0.922719,-0.921265,-0.923665,-0.924103,-0.922937,-0.92703,-0.91918	0.91921,0.913979,0.928606,0.931481,0.924154,0.929033,0.928343,0.923204,0.929256,0.924047,0.930553,0.925609,0.928467,0.923278,0.922111,0.925881,0.923442,0.924644,0.927962,0.921204
0.00239416,0.000601964,-0.00240901,-0.000672323,0.00573122,0.0142336,0.00255048,0.00692973,0.000427161,-0.00213506,-0.00241938,0.00471198,0.00317593,0.00381208,0.00542272,0.0159684,-0.00419664,0.0114586,0.00704078,0.0129619	-0.918968,-0.914028,-0.929154,-0.93172,-0.923521,-0.927268,-0.928125,-0.922328,-0.929351,-0.924599,-0.931039,-0.925127,-0.928116,-0.922842,-0.921392,-0.923791,-0.924316,-0.923087,-0.927151,-0.919384	0.919339,0.914127,0.928824,0.931631,0.92436,0.929237,0.928477,0.923356,0.929409,0.924289,0.930716,0.925803,0.928555,0.923406,0.922207,0.926098,0.923702,0.924764,0.928133,0.921366
-0.0843733,-0.0827094,-0.0850856,-0.0842731,-0.094847,-0.0928945,-0.0824606,-0.0690933,-0.0896151,-0.101327,-0.103411,-0.0841064,-0.0832279,-0.0852367,-0.087321,-0.082838,-0.105886,-0.091808,-0.0888594,-0.0773434	0.0167494,0.00398715,0.00212888,0.011101,0.0118583,0.0120289,0.0178302,0.0084908,0.00799767,0.00606301,0.0100288,0.0201704,0.00863975,0.00788278,0.0102205,0.0151589,0.00601622,0.0142723,0.0109237,0.00855853	-0.10098,-0.086668,-0.0871986,-0.0952849,-0.106585,-0.104806,-0.100144,-0.0775386,-0.0975429,-0.107324,-0.113322,-0.1041,-0.0918017,-0.093057,-0.0974545,-0.097874,-0.111831,-0.105941,-0.0996863,-0.0858451
-0.090144,-0.0808018,-0.086868,-0.0954285,-0.100514,-0.100144,-0.0965406,-0.0773188,-0.0977364,-0.102581,-0.117362,-0.088492,-0.0986063,-0.0942508,-0.0795746,-0.0938034,-0.118751,-0.0959716,-0.0966101,-0.0820997	0.00642871,-0.00182456,-0.00562335,0.00308413,0.00474279,0.00460209,0.00360212,-0.00454524,-0.00551469,-0.0111934,-0.0118348,0.0138428,-0.00917784,-0.00316507,0.00386553,-0.00336447,-0.00639886,0.0084094,0.00451214,0.00010301	-0.0965168,-0.0789889,-0.0812844,-0.0984837,-0.105206,-0.104697,-0.100108,-0.0727992,-0.0922715,-0.0914931,-0.105674,-0.10221,-0.0895095,-0.0911129,-0.0834145,-0.0904675,-0.112437,-0.104297,-0.101078,-0.082202
0.0539597,0.0531009,0.0624336,0.0641146,0.0511392,0.0711396,0.0700428,0.0675218,0.0575703,0.0534406,0.0505406,0.0573977,0.0610142,0.0555007,0.0510915,0.0671119,0.0411599,0.0508843,0.0542358,0.0642001	0.0608454,0.0557883,0.0635132,0.0660841,0.0540217,0.0734887,0.0776861,0.0667868,0.0602897,0.065552,0.0530851,0.0689719,0.0657267,0.0585548,0.0626615,0.0624973,0.0523905,0.0588104,0.0574587,0.0736028	-0.00690845,-0.00269537,-0.0010839,-0.00197788,-0.00289045,-0.00236142,-0.00768511,0.000738365,-0.00272888,-0.0121539,-0.00255135,-0.0116202,-0.00473153,-0.00306406,-0.0116072,0.00463404,-0.0112549,-0.00794988,-0.00323288,-0.00944744
-0.0371482,-0.0415891,-0.0420897,-0.0380396,-0.0503561,-0.0381851,-0.0194243,-0.025725,-0.0431002,-0.0549652,-0.0546475,-0.0383265,-0.0379766,-0.0401822,-0.0422507,-0.033832,-0.0572401,-0.0479693,-0.0416313,-0.0336715	0.0314474,0.0194911,0.0148797,0.028721,0.0262542,0.0417821,0.0466681,0.0297265,0.023467,0.026913,0.0153499,0.0311275,0.0282607,0.0276896,0.0305089,0.0266615,0.030524,0.0257306,0.0306292,0.0325913	-0.0685156,-0.0610307,-0.0569337,-0.0666877,-0.0765091,-0.0798398,-0.0660325,-0.0554091,-0.0664999,-0.0817573,-0.0699388,-0.0693712,-0.0661663,-0.0677964,-0.072666,-0.060439,-0.087611,-0.0736091,-0.0721685,-0.0661902
-0.0451518,-0.0335271,-0.0326037,-0.0266677,-0.0435436,-0.0298604,-0.0147554,-0.0200502,-0.0390579,-0.0408159,-0.050112,-0.0267015,-0.0369939,-0.0295934,-0.034102,-0.0169899,-0.0565555,-0.0400757,-0.0297248,-0.0274707	-0.00669912,0.000115337,-0.0170778,-0.00992814,-0.0178485,-0.0037084,0.0110035,-0.00545265,-0.00645555,-0.0135112,-0.00910872,0.00677491,-0.00417973,-0.00568553,0.00232546,-0.000232171,-0.0161795,-0.00726914,-0.00306789,0.00703507	-0.0384644,-0.0336423,-0.0155346,-0.016744,-0.0257151,-0.0261549,-0.0257547,-0.0145992,-0.0326106,-0.0273198,-0.041022,-0.0334704,-0.0328192,-0.0239119,-0.0364246,-0.0167578,-0.0404129,-0.0328162,-0.0266593,-0.0344991
0.00142725,0.00236271,0.00127532,0.00681122,0.00835068,0.00707405,0.00276502,0.00262159,0.0073735,0.00724805,0.00232404,0.00444763,0.00895731,-0.00361616,0.00811718,0.0140542,0.00702893,0.00130812,0.00856366,0.00970458	-0.917988,-0.913748,-0.928896,-0.930582,-0.923059,-0.927555,-0.928091,-0.922431,-0.928467,-0.923495,-0.930282,-0.923802,-0.927267,-0.923381,-0.920386,-0.923982,-0.922303,-0.922574,-0.926496,-0.91863	0.918212,0.914137,0.929071,0.931489,0.924285,0.928537,0.928473,0.922821,0.929478,0.924554,0.930595,0.924451,0.928512,0.922846,0.921618,0.926012,0.923346,0.922768,0.927699,0.920131
-0.0246211,-0.0185502,-0.0109145,-0.0131392,-0.0279216,-0.0172773,-0.0087159,-0.0136786,-0.0236167,-0.0231889,-0.0378161,-0.007659,-0.0113024,-0.0262272,-0.0170733,-0.0115952,-0.034825,-0.0252376,-0.0200023,-0.0136093	-0.848595,-0.841218,-0.864882,-0.867764,-0.856194,-0.864609,-0.860158,-0.854145,-0.859866,-0.855347,-0.86647,-0.85169,-0.85749,-0.852789,-0.846626,-0.854966,-0.853585,-0.851198,-0.855445,-0.842693	0.841557,0.835708,0.862105,0.864481,0.848558,0.860181,0.857874,0.850402,0.853583,0.848998,0.856726,0.849573,0.854469,0.845472,0.841719,0.851815,0.843844,0.844094,0.849987,0.838702
-0.000312482,0.00192545,0.00108584,0.00734513,0.00953221,0.00575472,0.0033194,0.00285823,0.00786556,0.00696493,0.00238042,0.00396397,0.0103391,-0.00266214,0.00882518,0.0130589,0.00722389,0.00108761,0.00867252,0.00964372	-0.918941,-0.914617,-0.929579,-0.931261,-0.923775,-0.928444,-0.928765,-0.923282,-0.929102,-0.92427,-0.931011,-0.92449,-0.927946,-0.924048,-0.921144,-0.924838,-0.923021,-0.9234,-0.927309,-0.919503	0.918892,0.914931,0.929726,0.93223,0.925161,0.929234,0.929219,0.923703,0.93017,0.925278,0.931328,0.925064,0.929369,0.923658,0.922471,0.926705,0.924084,0.92356,0.928514,0.92098
0.00177132,0.00208524,0.00176921,0.00740466,0.00848392,0.00708541,0.00280017,0.00292116,0.00755097,0.00624364,0.00228577,0.00392268,0.009204,-0.00438847,0.00861141,0.0144769,0.00795528,0.00163591,0.0084313,0.0098789	-0.91796,-0.913764,-0.928825,-0.930543,-0.923091,-0.927542,-0.928133,-0.922429,-0.928518,-0.923583,-0.93031,-0.923803,-0.927273,-0.923442,-0.92041,-0.924001,-0.922262,-0.922606,-0.926538,-0.918647	0.918238,0.914107,0.929067,0.931529,0.924336,0.928525,0.92852,0.922864,0.929551,0.924496,0.930616,0.924376,0.928552,0.922793,0.921716,0.92609,0.923442,0.922849,0.927722,0.920175
0.000843379,0.00173016,0.00165113,0.00757523,0.00914246,0.00649768,0.0030113,0.0027701,0.0069237,0.00692457,0.00285422,0.00397175,0.00976348,-0.00391538,0.00803081,0.0140574,0.00762456,0.00157124,0.00954927,0.00910837	-0.917993,-0.913781,-0.92888,-0.930445,-0.923003,-0.927555,-0.928186,-0.922374,-0.928496,-0.923483,-0.930262,-0.92373,-0.927147,-0.923421,-0.920366,-0.924014,-0.922276,-0.922583,-0.92649,-0.918643	0.918125,0.914066,0.929107,0.931455,0.924345,0.928457,0.928602,0.922787,0.929445,0.924496,0.930645,0.924311,0.928505,0.922843,0.921586,0.926043,0.923408,0.922816,0.92783,0.920053
