0.0111692,0.0242093,-0.0079064,-0.0089035,0.00990312,-0.0336539,-0.0063432,-0.00694603,-0.0479761,0.000511891,-0.00312604,-0.000477239,0.0112222,0.00781807,0.0123779,-0.0106895,0.00682472,-0.0179659,-0.010979,-0.00808497	0.182329,0.18616,0.169839,0.164252,0.19925,0.15067,0.179068,0.17149,0.136937,0.184148,0.18041,0.174598,0.192875,0.193023,0.192146,0.173679,0.18317,0.170352,0.164642,0.175806	-0.171509,-0.162684,-0.177507,-0.172903,-0.189722,-0.183394,-0.185201,-0.178224,-0.183706,-0.183654,-0.183432,-0.17506,-0.182047,-0.185485,-0.180196,-0.184027,-0.176566,-0.187744,-0.175304,-0.18363
-0.175003,-0.172348,-0.179095,-0.203228,-0.173115,-0.193976,-0.180778,-0.16523,-0.170624,-0.180906,-0.18089,-0.161784,-0.15833,-0.181185,-0.145428,-0.167166,-0.144503,-0.168935,-0.171018,-0.15719	-0.275959,-0.318888,-0.360084,-0.394125,-0.326172,-0.40989,-0.365877,-0.334806,-0.396928,-0.375366,-0.377535,-0.361588,-0.372011,-0.372423,-0.347523,-0.363983,-0.345864,-0.408136,-0.394669,-0.388893	0.10608,0.155062,0.193465,0.207518,0.162217,0.234564,0.198209,0.179507,0.242744,0.208627,0.211059,0.212219,0.227055,0.205076,0.212853,0.209568,0.211954,0.256915,0.239839,0.24679
-0.114386,-0.114584,-0.149968,-0.187083,-0.141904,-0.205352,-0.134314,-0.156192,-0.178094,-0.147729,-0.154031,-0.108073,-0.124846,-0.141542,-0.133017,-0.147889,-0.116642,-0.162169,-0.132323,-0.127085	0.185541,0.173725,0.147953,0.138364,0.160581,0.131783,0.158281,0.15093,0.124735,0.168166,0.162552,0.189208,0.162161,0.167257,0.160039,0.160943,0.172751,0.150323,0.165997,0.171298	-0.293693,-0.282682,-0.291454,-0.317235,-0.295746,-0.328252,-0.286504,-0.300049,-0.296248,-0.308238,-0.30885,-0.291324,-0.281312,-0.301658,-0.286948,-0.301653,-0.283676,-0.305055,-0.291908,-0.292026
-0.194389,-0.21117,-0.181711,-0.197945,-0.184579,-0.200905,-0.200224,-0.176022,-0.177397,-0.205894,-0.193233,-0.191541,-0.174445,-0.202724,-0.16742,-0.194086,-0.162105,-0.186415,-0.187638,-0.161915	-0.147659,-0.206025,-0.236527,-0.268995,-0.200009,-0.318391,-0.258486,-0.215811,-0.289773,-0.265009,-0.26653,-0.251409,-0.254495,-0.26478,-0.22286,-0.257405,-0.2256,-0.304632,-0.277162,-0.259583	-0.0481108,-0.00537815,0.057278,0.0750459,0.0160217,0.125515,0.0614417,0.0413603,0.118465,0.0625275,0.0772774,0.062897,0.0837691,0.0655762,0.0575883,0.0666491,0.0659054,0.125334,0.0944347,0.101953
-0.197434,-0.186365,-0.221324,-0.243827,-0.211098,-0.264338,-0.213044,-0.229032,-0.240982,-0.211778,-0.232128,-0.197304,-0.196159,-0.214965,-0.199651,-0.211816,-0.203416,-0.226597,-0.196188,-0.190193	0.105841,0.100854,0.0798284,0.0742271,0.0966692,0.0658529,0.0873214,0.0789763,0.0671443,0.10523,0.0854671,0.106131,0.0957905,0.0941589,0.0939872,0.0922974,0.0892407,0.0846364,0.09944,0.111211	-0.297068,-0.281921,-0.295924,-0.312401,-0.301612,-0.324542,-0.29488,-0.302536,-0.30322,-0.310098,-0.311417,-0.297211,-0.286564,-0.302991,-0.28823,-0.298282,-0.287439,-0.305377,-0.289971,-0.295161
-0.406009,-0.426637,-0.465777,-0.501186,-0.448618,-0.51988,-0.467656,-0.454727,-0.50767,-0.491172,-0.491053,-0.475137,-0.483272,-0.483322,-0.469942,-0.483438,-0.462689,-0.519148,-0.505842,-0.505224	-0.0651217,-0.0507258,-0.0489692,-0.0560686,-0.0581064,-0.0417174,-0.0519702,-0.0392017,-0.0467826,-0.056448,-0.0492968,-0.051064,-0.0480648,-0.053046,-0.0425495,-0.0508799,-0.038774,-0.0455157,-0.0592059,-0.0547255	-0.350145,-0.384226,-0.426537,-0.457988,-0.400964,-0.488763,-0.426041,-0.423067,-0.4721,-0.44712,-0.452715,-0.434617,-0.445557,-0.441598,-0.436113,-0.443467,-0.431659,-0.485095,-0.460426,-0.463309
-0.109916,-0.114928,-0.091009,-0.0852823,-0.101065,-0.0511442,-0.0933305,-0.0807937,-0.0693625,-0.100777,-0.0771862,-0.104501,-0.10186,-0.0937373,-0.105756,-0.0878605,-0.0901993,-0.0835533,-0.107877,-0.103862	0.0715377,0.0802226,0.0823421,0.0902534,0.0794604,0.100466,0.0817793,0.0937833,0.0963612,0.0877301,0.0984084,0.0839621,0.0811882,0.0860821,0.0881132,0.0960411,0.0943513,0.0926001,0.083104,0.0849139	-0.180038,-0.193368,-0.172062,-0.174195,-0.179087,-0.150835,-0.173783,-0.173264,-0.164623,-0.186855,-0.174271,-0.186824,-0.181547,-0.17838,-0.192079,-0.182363,-0.182993,-0.174801,-0.189285,-0.187126
-0.425956,-0.44593,-0.483386,-0.517436,-0.473062,-0.535969,-0.490161,-0.476897,-0.526035,-0.503681,-0.509982,-0.494215,-0.503656,-0.502002,-0.48998,-0.499929,-0.489593,-0.534842,-0.5194,-0.523296	-0.0752636,-0.0678263,-0.0614002,-0.0791623,-0.0785783,-0.0642414,-0.0684315,-0.0601506,-0.0618382,-0.0654662,-0.0662306,-0.0624401,-0.0663732,-0.0705594,-0.0614494,-0.0703086,-0.0645529,-0.0614317,-0.0742639,-0.0721645	-0.362308,-0.389896,-0.434893,-0.456992,-0.409714,-0.488549,-0.436366,-0.429054,-0.479804,-0.453157,-0.459263,-0.445524,-0.452406,-0.447286,-0.441833,-0.445272,-0.438912,-0.489493,-0.462995,-0.468837
-0.0808806,-0.0949603,-0.0580755,-0.0706899,-0.0859513,-0.0597574,-0.0735145,-0.0669627,-0.0774747,-0.0851443,-0.0797785,-0.086506,-0.0730337,-0.0882199,-0.0832887,-0.0855459,-0.0803994,-0.0802669,-0.0874509,-0.0715437	-0.28795,-0.324474,-0.359018,-0.405596,-0.349559,-0.445397,-0.368947,-0.361624,-0.428267,-0.393668,-0.40373,-0.379757,-0.383341,-0.394544,-0.372773,-0.392816,-0.372723,-0.438836,-0.40942,-0.401462	0.212007,0.23681,0.307351,0.344792,0.271773,0.396184,0.303669,0.301973,0.362831,0.319223,0.334733,0.303211,0.319245,0.317371,0.29876,0.317955,0.301355,0.371661,0.333925,0.339675
0.262272,0.290393,0.271587,0.291369,0.278643,0.279431,0.270078,0.285077,0.354441,0.292509,0.277929,0.289638,0.303569,0.287981,0.294658,0.296004,0.277604,0.322352,0.319498,0.32049	0.284524,0.30506,0.2922,0.299808,0.300142,0.289889,0.295798,0.304563,0.376322,0.30813,0.298923,0.313923,0.324875,0.305242,0.309916,0.307557,0.298929,0.338016,0.331306,0.336879	-0.0240465,-0.0160921,-0.0223894,-0.00924686,-0.0234614,-0.01138,-0.0279533,-0.0213388,-0.0252495,-0.017168,-0.0228958,-0.0267143,-0.023637,-0.0189243,-0.016791,-0.0127098,-0.0232546,-0.0175793,-0.0132057,-0.0183724
