A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TstrZim_0824	TstrTan_0845	9638887	750179	146984	624529	527115	275224	169351	354086	5091054	0.355575552586555	0.283984227390791	0.0899962844353226
TstrZim_0824	TstrTan_0846	9784794	782901	160757	557961	486980	253017	204602	380132	5166115	0.384243989661965	0.304645921418083	0.0897694352093312
TstrZim_0824	TstrTan_0847	9562455	760264	152803	598102	493640	299116	187276	364059	5009498	0.372247931544457	0.297478805199293	0.0916767069984168
TstrZim_0824	TstrTan_0771	10024306	776253	148995	629399	548389	243720	179149	376228	5363907	0.355601599078552	0.282739511478856	0.0883055192066897
TstrZim_0824	TstrTan_0848	9924302	787562	159978	571441	503195	253923	203182	385551	5255557	0.379414612345177	0.300746198497271	0.0894443689836529
TstrZim_0824	TstrTan_0849	9565350	754549	152348	584071	502119	256476	183781	359298	5047997	0.369585906628087	0.293707774453964	0.089876277642138
TstrZim_0824	TstrTan_0850	9220964	716285	136422	602554	507363	262307	155820	336062	4857512	0.350419760799764	0.280545747290422	0.0895803281503522
TstrZim_0824	TstrZam_0851	9704249	725447	129625	721397	595665	335960	130631	330234	5119431	0.317818107496714	0.25801871969266	0.0907458134793832
TstrZim_0824	TstrTan_0818	9651073	772944	156527	571460	481533	275306	199508	373599	5082104	0.381559118461173	0.303778770089034	0.0907225632533355
TstrZim_0825	TstrZim_0826	8958424	645893	109447	712878	581477	374883	105114	254660	4667335	0.299464394821279	0.24548141422732	0.0913739401275226
TstrZim_0825	TstrZim_0827	9624011	698504	120725	708973	599074	312204	119472	283219	5125309	0.307664756446991	0.249154255672864	0.0876096289962005
TstrZim_0825	TstrZim_0828	9789836	699989	120405	724467	621603	314863	116617	287852	5234238	0.301832084568062	0.244488753420778	0.0871814814959573
TstrZim_0825	TstrZim_0829	8811783	644148	113927	680868	557350	325051	107532	252348	4605295	0.307051441717887	0.249816501717126	0.0901549430492731
TstrZim_0825	TstrZim_0830	9573442	696681	121072	744415	600419	383569	116469	279553	5042908	0.307054910617364	0.251108985701522	0.0905462861123666
