A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TspeTan_0878	TspeDRC_1022	7989334	946075	702831	1783798	453903	667077	464631	339501	4300757	0.525511199165256	0.422120630246852	0.184873991006412
TspeTan_0878	TspeDRC_1023	8316846	985470	741944	1734203	454570	650835	526318	362400	4489416	0.539753458332305	0.432762802723981	0.18409816185542
TspeTan_0878	TspeDRC_1024	8472076	855366	752805	1738539	688144	646657	531588	292025	4589379	0.517994677186413	0.405538670276395	0.182842434247041
TspeTan_0878	TspeDRC_1025	9609482	626948	267939	784904	797936	449748	253546	387106	5206022	0.373277464952666	0.281681397551152	0.111229712998482
TspeTan_0879	TspeTan_0881	9597003	660073	170741	476532	831443	325716	192352	453985	5140987	0.313133953283524	0.232963937094844	0.0973154713989128
TspeTan_0879	TspeTan_0883	9208314	576966	125345	574969	913508	378729	125040	377161	4903201	0.250506682062537	0.189413220875093	0.096666995087595
TspeTan_0879	TspeTan_0884	9291760	599569	132412	558464	889122	371307	136866	400751	4967680	0.263730371763712	0.199536818034006	0.0967772179863985
TspeTan_0879	TspeTan_0885	9317058	590838	131347	582637	919528	405267	133214	388791	4953049	0.257145767659402	0.194787319037626	0.0980437418123081
TspeTan_0879	TspeTan_0886	9059273	577950	118813	514546	873787	353017	124616	385162	4831140	0.252503875094527	0.190777632777693	0.0947637006672406
TspeTan_0879	TspeGha_0888	8693063	1218797	908543	443167	217269	174020	1101349	505681	4546800	0.718668287651181	0.594906437671297	0.184705286279074
TspeTan_0879	TspeCam_1011	8130129	941296	678143	1617614	697407	583290	510041	312287	4389272	0.504788972419714	0.394602975212472	0.182767425634309
TspeTan_0879	TspeCon_1012	8402740	1130607	748718	1289825	412555	464493	697092	429895	4515542	0.583025318294797	0.466488568776618	0.182931406281204
TspeTan_0879	TspeCam_1013	8174886	1101076	721664	1381962	425229	506417	634369	407539	4383935	0.566649919116423	0.453168273900196	0.184198585821102
TspeTan_0879	TspeCam_1014	8126119	938312	676543	1630825	700017	590122	506017	309053	4380358	0.50323879470093	0.39345331215056	0.182934286053161
TspeTan_0879	TspeCam_1015	7843537	908486	653004	1660161	692188	602028	469634	290761	4226507	0.4951411440508	0.387721585218222	0.184445610494822
TspeTan_0879	TspeCam_1016	7855790	917976	659612	1703843	687780	607711	487016	299831	4264644	0.497734572356596	0.390363877837891	0.18617940434574
TspeTan_0879	TspeCam_1017	6239138	733396	520888	1376019	554985	492126	362382	227749	3316489	0.490144116351814	0.384617307296506	0.186310891595648
TspeTan_0879	TspeCam_1018	8225128	1093440	685795	1655646	491829	596261	523719	391902	4455824	0.526591282790417	0.421307696305711	0.183451250208063
TspeTan_0879	TspeCam_1019	8186292	949780	690827	1569903	688882	562922	544243	319165	4426494	0.514333635329393	0.401704407402414	0.182868943169633
TspeTan_0879	TspeCam_1020	8153081	1081950	675319	1678752	498611	601251	505176	384804	4424290	0.521271377260108	0.417115274258368	0.183476979747083
TspeTan_0879	TspeCam_1021	8262259	953816	691958	1643861	710713	586970	528018	319665	4478513	0.50656097934924	0.395800417822677	0.183072736438775
TspeTan_0879	TspeDRC_1022	7796122	1034345	633550	1728045	493838	627297	438509	358314	4207160	0.50561552481484	0.405875310365385	0.184382128037013
TspeTan_0879	TspeDRC_1023	8088435	1072591	667063	1674249	493452	608054	495986	379717	4372157	0.519743767864923	0.416135916548076	0.183572419753319
TspeTan_0879	TspeDRC_1024	8221426	945023	676268	1675665	717976	602752	500831	312663	4453890	0.498401272626233	0.389689799646903	0.182483616099285
TspeTan_0879	TspeDRC_1025	9410227	675589	198853	718735	865203	401580	198966	416362	5086429	0.321359311787668	0.243674768824915	0.107754258526512
TspeTan_0881	TspeTan_0883	9448288	465521	195083	644883	817809	444395	174644	314834	5041305	0.318090190072882	0.235621583235994	0.0976503813068189
TspeTan_0881	TspeTan_0884	9569145	479164	181843	617621	809053	431945	167129	331830	5138177	0.311337368107899	0.231722589668117	0.0949896950266071
TspeTan_0881	TspeTan_0885	9617625	476856	179616	651889	826582	478007	162289	329137	5134401	0.305714769051044	0.229248647715354	0.0964998715866724
TspeTan_0881	TspeTan_0886	9258957	469692	181878	583987	773580	415389	166893	324005	4946586	0.317803623864383	0.236192745892193	0.0953274134574291
TspeTan_0881	TspeGha_0888	9021571	1033061	1046801	466553	200590	190923	1173136	442086	4715309	0.750600870769857	0.629003656809022	0.185157897499348
TspeTan_0881	TspeCam_1011	8412983	773383	794436	1691967	637118	638859	555252	271291	4525987	0.538166452472991	0.421923329254243	0.183375028058153
TspeTan_0881	TspeCon_1012	8713198	959949	874155	1357024	356199	513730	749899	387455	4670594	0.615920247789228	0.495928531494207	0.18357524670245
TspeTan_0881	TspeCam_1013	8453377	927254	840178	1442413	373464	550712	682645	360243	4518670	0.599232725527927	0.481344305388924	0.184576236781884
TspeTan_0881	TspeCam_1014	8423492	768362	794469	1706129	645060	644310	551786	264996	4528569	0.536412062208972	0.420301443641236	0.183371625291036
TspeTan_0881	TspeCam_1015	8088816	740822	762393	1732402	628826	653884	508160	249859	4339028	0.528059620287406	0.414415582298811	0.184896880343015
TspeTan_0881	TspeCam_1016	8098601	746484	768677	1775440	627391	659919	525874	257506	4375031	0.529823474375343	0.416293451210414	0.186595759342499
TspeTan_0881	TspeCam_1017	6381911	589959	604041	1419119	503484	526726	391208	191363	3370844	0.523203928228569	0.410912862743242	0.186754340814621
TspeTan_0881	TspeCam_1018	8534578	924933	807184	1733201	434498	650042	572018	348607	4613872	0.559514634614585	0.448460766627005	0.18394407993197
TspeTan_0881	TspeCam_1019	8465063	779730	808027	1644836	626957	618596	589327	278099	4560411	0.547656808532873	0.429412480709891	0.183520470200771
TspeTan_0881	TspeCam_1020	8435764	915405	791564	1758009	431579	658410	548307	345870	4562053	0.55409810308761	0.444456841906423	0.184014456364926
TspeTan_0881	TspeCam_1021	8573403	784966	810720	1724360	652982	644325	573883	277418	4638637	0.539193991995339	0.422522982803447	0.183431541676128
TspeTan_0881	TspeDRC_1022	8041119	871484	741662	1802218	423903	683488	477765	320101	4317780	0.538729481292288	0.433011422288238	0.18496113016643
TspeTan_0881	TspeDRC_1023	8371652	906765	782371	1751164	427036	664820	539856	340253	4508617	0.552841897107211	0.443600291806357	0.184077613303876
TspeTan_0881	TspeDRC_1024	8531535	776165	790262	1754496	660433	661809	543680	269709	4611196	0.530417709300371	0.415620799012222	0.182547232326404
TspeTan_0881	TspeDRC_1025	9696305	550640	277667	790725	782226	463313	250220	351803	5258738	0.378987658221431	0.284420961900932	0.108418187808174
TspeTan_0883	TspeTan_0884	9166878	587942	142447	547305	881463	361620	149563	390268	4881548	0.274186918998824	0.204937711722638	0.0979780039013307
TspeTan_0883	TspeTan_0885	9209874	567825	126152	563235	916914	394118	126755	381708	4878635	0.251021489778295	0.189455046147282	0.0969872444366561
TspeTan_0883	TspeTan_0886	8918712	572599	136296	513992	848719	350276	141951	383864	4729487	0.272942741721493	0.204312383531957	0.0971910163813993
TspeTan_0883	TspeGha_0888	8562072	1194440	894063	434665	207710	169813	1086489	501583	4458693	0.720122764156638	0.596634083822202	0.184736990054786
TspeTan_0883	TspeCam_1011	8000847	923678	670507	1596327	674308	572627	504884	312288	4298030	0.507150999765164	0.396906987928145	0.183154683260816
TspeTan_0883	TspeCon_1012	8267515	1104401	743971	1270344	400662	454387	691306	428343	4416901	0.585542339191731	0.468752000131935	0.183618894994496
TspeTan_0883	TspeCam_1013	8062205	1079547	713094	1364435	413797	498153	627574	406862	4302707	0.567917779436479	0.454410750976494	0.184451340462484
TspeTan_0883	TspeCam_1014	8003255	919489	667074	1609364	682190	579717	499486	309188	4294592	0.504421218616063	0.394647838757674	0.183128500875779
TspeTan_0883	TspeCam_1015	7740153	891015	647469	1643155	676634	592213	465181	292580	4152091	0.496671543084259	0.389144306456024	0.184816242995596
TspeTan_0883	TspeCam_1016	7755256	896906	654548	1680457	678117	596540	484172	299029	4188026	0.499191178518	0.39138287513122	0.186516276195086
TspeTan_0883	TspeCam_1017	6176244	716064	519938	1360228	550432	484249	362308	225740	3267929	0.491996498866444	0.385765540741211	0.186677732455487
TspeTan_0883	TspeCam_1018	8094425	1069121	677070	1629397	478230	583638	518377	388808	4362447	0.528301555983141	0.422795781169711	0.183694723027194
TspeTan_0883	TspeCam_1019	8062863	929793	682781	1550067	669328	553985	538196	320833	4336610	0.516098254036008	0.403451005783368	0.183229225089172
TspeTan_0883	TspeCam_1020	8028563	1058884	666920	1654682	481586	591112	498830	384943	4332906	0.522989118224149	0.418795766951092	0.183708624710469
TspeTan_0883	TspeCam_1021	8126219	934250	682486	1621330	687218	577425	520897	321030	4380640	0.508403890296185	0.39771751216235	0.183402538554894
