P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ToryNam	TderUga	ScafKen	0.0591586	32.4131	2.3e-16	1.83855e+06	224309	199252
ToryRSA	TderUga	ScafKen	0.0632346	28.5072	2.3e-16	1.71482e+06	210134	185139
ToryTan	TderUga	ScafKen	0.0607027	35.7197	2.3e-16	1.83772e+06	224804	199074
ToryZam	TderUga	ScafKen	0.0604946	33.5786	2.3e-16	1.83879e+06	224529	198913
ToryZim	TderUga	ScafKen	0.0639214	37.5511	2.3e-16	1.83502e+06	226742	199497
TderUga	TscrGha	ScafKen	0.124189	45.9172	2.3e-16	896069	558492	435100
TderUga	TspeBot	ScafKen	0.0260118	13.8103	2.3e-16	1.15665e+06	450791	427934
TderUga	TspeCam	ScafKen	0.0252157	12.241	2.3e-16	1.15889e+06	452180	429937
TderUga	TspeCon	ScafKen	0.0268406	14.2994	2.3e-16	1.15825e+06	450919	427346
TderUga	TspeDRC	ScafKen	0.0248852	12.0387	2.3e-16	1.1594e+06	451758	429819
TderUga	TspeGha	ScafKen	0.027054	13.712	2.3e-16	1.15303e+06	448517	424888
TderUga	TspeTan	ScafKen	0.0249382	10.8774	2.3e-16	1.15734e+06	451301	429340
TderUga	TspeZam	ScafKen	0.0245558	11.4519	2.3e-16	1.13983e+06	444483	423177
TstrBot	TderUga	ScafKen	0.00399439	1.57357	0.115588	1.06713e+06	449782	446203
TstrNA-	TderUga	ScafKen	0.0195978	7.38367	1.53988e-13	1.04926e+06	455843	438319
TstrNam	TderUga	ScafKen	0.00574561	2.25149	0.0243547	1.06648e+06	450892	445740
TstrRSA	TderUga	ScafKen	0.00366805	1.41906	0.155882	1.05565e+06	444810	441559
TstrTan	TderUga	ScafKen	0.00389732	1.53744	0.124185	1.06651e+06	449354	445865
TstrZam	TderUga	ScafKen	0.00381126	1.49453	0.135037	1.06723e+06	449004	445594
TstrZim	TderUga	ScafKen	0.00450574	1.77478	0.0759339	1.06611e+06	449698	445663
TimbAby	TimbEth	ScafKen	0.0260369	11.5145	2.3e-16	936715	33768.2	32054.4
TimbAby	TimbKen	ScafKen	0.0272324	14.2997	2.3e-16	938373	32189.7	30483
TimbAby	TimbSom	ScafKen	0.00627551	3.45836	0.000543482	938872	31927.8	31529.6
TimbAby	TimbTan	ScafKen	0.0172901	6.20689	5.40434e-10	938584	32015.5	30927.3
TimbAby	TimbUga	ScafKen	0.0201766	8.47374	2.3e-16	939735	31219.9	29985
ToryBot	ScafKen	TimbAby	0.0493196	19.1892	2.3e-16	665537	541725	490801
ToryEth	ScafKen	TimbAby	0.048687	18.7979	2.3e-16	666015	541135	490889
ToryKen	ScafKen	TimbAby	0.0491138	19.0875	2.3e-16	663523	539934	489380
ToryNam	ScafKen	TimbAby	0.0485085	18.6993	2.3e-16	665959	541113	491045
ToryRSA	ScafKen	TimbAby	0.052903	19.1215	2.3e-16	618008	507727	456706
ToryTan	ScafKen	TimbAby	0.0491015	18.9145	2.3e-16	665688	541525	490835
ToryZam	ScafKen	TimbAby	0.0488668	19.0174	2.3e-16	665748	541473	491019
ToryZim	ScafKen	TimbAby	0.0499377	19.3954	2.3e-16	665021	542380	490786
TscrGha	ScafKen	TimbAby	0.0270772	15.1426	2.3e-16	723636	464785	440279
TspeBot	ScafKen	TimbAby	0.0509929	33.5653	2.3e-16	697247	524434	473544
TspeCam	ScafKen	TimbAby	0.0525857	31.7578	2.3e-16	698900	526614	473996
TspeCon	ScafKen	TimbAby	0.0519055	30.6353	2.3e-16	697825	524465	472707
TspeDRC	ScafKen	TimbAby	0.0526766	32.8801	2.3e-16	698552	526580	473879
TspeGha	ScafKen	TimbAby	0.0511017	30.5962	2.3e-16	694135	521425	470724
TspeTan	ScafKen	TimbAby	0.0512607	31.7521	2.3e-16	697423	525423	474182
