P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TstrRSA	TderCam	ScafKen	0.0866605	23.6381	2.3e-16	2.06573e+06	1.21215e+06	1.01881e+06
TstrTan	TderCam	ScafKen	0.0885458	23.885	2.3e-16	2.06483e+06	1.21585e+06	1.01805e+06
TstrZam	TderCam	ScafKen	0.0886418	23.8738	2.3e-16	2.06769e+06	1.21517e+06	1.01728e+06
TstrZim	TderCam	ScafKen	0.0886357	23.8667	2.3e-16	2.06417e+06	1.2155e+06	1.01757e+06
TderCha	TderSSu	ScafKen	0.044289	20.5273	2.3e-16	5.75958e+06	47941.2	43874.8
TderCha	TderUga	ScafKen	0.0242205	9.48025	2.3e-16	5.75278e+06	49671.7	47322.4
TderCha	TimbAby	ScafKen	0.00455857	1.95504	0.0505788	1.08331e+06	1.43721e+06	1.42416e+06
TderCha	TimbEth	ScafKen	0.00518157	2.26618	0.0234406	1.07993e+06	1.43587e+06	1.42107e+06
TderCha	TimbKen	ScafKen	0.00555383	2.39212	0.0167515	1.07704e+06	1.43836e+06	1.42247e+06
TderCha	TimbSom	ScafKen	0.00452748	1.98058	0.0476385	1.08314e+06	1.43914e+06	1.42617e+06
TderCha	TimbTan	ScafKen	0.00502899	2.19895	0.0278814	1.0766e+06	1.43837e+06	1.42397e+06
TderCha	TimbUga	ScafKen	0.00549111	2.3984	0.0164668	1.07881e+06	1.44169e+06	1.42595e+06
ToryBot	TderCha	ScafKen	0.0128608	7.91877	2.3988e-15	4.52392e+06	486865	474501
ToryEth	TderCha	ScafKen	0.0100257	6.14868	7.81299e-10	4.53091e+06	483925	474318
ToryKen	TderCha	ScafKen	0.0103048	6.50558	7.73949e-11	4.5295e+06	484134	474258
ToryNam	TderCha	ScafKen	0.0107526	6.64329	3.06763e-11	4.52887e+06	484792	474477
ToryRSA	TderCha	ScafKen	0.0105853	6.23298	4.57658e-10	4.52565e+06	484924	474765
ToryTan	TderCha	ScafKen	0.01104	7.04655	1.83409e-12	4.52831e+06	485118	474524
ToryZam	TderCha	ScafKen	0.0113311	7.01985	2.22102e-12	4.5299e+06	485096	474226
ToryZim	TderCha	ScafKen	0.0152254	9.66707	2.3e-16	4.51584e+06	489837	475144
TderCha	TscrGha	ScafKen	0.127424	45.6904	2.3e-16	1.8943e+06	1.26213e+06	976834
TderCha	TspeBot	ScafKen	0.0460244	22.5221	2.3e-16	2.28985e+06	1.02311e+06	933080
TderCha	TspeCam	ScafKen	0.0451192	21.842	2.3e-16	2.29512e+06	1.02687e+06	938212
TderCha	TspeCon	ScafKen	0.0472484	24.7062	2.3e-16	2.29468e+06	1.02531e+06	932795
TderCha	TspeDRC	ScafKen	0.045042	22.4972	2.3e-16	2.29535e+06	1.02658e+06	938090
TderCha	TspeGha	ScafKen	0.0473178	26.0366	2.3e-16	2.29234e+06	1.02349e+06	931006
TderCha	TspeTan	ScafKen	0.0449211	20.8275	2.3e-16	2.28837e+06	1.02399e+06	935948
