P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TderCha	ScafKen	TimbSom	0.0359058	17.2374	2.3e-16	861642	743413	691878
TderCha	ScafKen	TimbTan	0.0369365	17.8469	2.3e-16	860124	743354	690396
TderCha	ScafKen	TimbUga	0.0377874	18.0496	2.3e-16	861525	744363	690157
TderCha	ToryBot	ScafKen	0.00887341	5.22687	1.72408e-07	2.28971e+06	287563	282505
TderCha	ToryEth	ScafKen	0.0108822	6.58165	4.65251e-11	2.29104e+06	287398	281211
TderCha	ToryKen	ScafKen	0.0100427	6.07327	1.25331e-09	2.28357e+06	286232	280540
TderCha	ToryNam	ScafKen	0.0107449	6.8632	6.73343e-12	2.29127e+06	287594	281480
TderCha	ToryRSA	ScafKen	0.0077	3.98314	6.80099e-05	2.13525e+06	267060	262978
TderCha	ToryTan	ScafKen	0.00962343	5.88059	4.08801e-09	2.29044e+06	287369	281891
TderCha	ToryZam	ScafKen	0.00968786	6.31093	2.77364e-10	2.29159e+06	287256	281744
TderCha	ToryZim	ScafKen	0.0062234	3.99138	6.56904e-05	2.28712e+06	288072	284508
TderCha	TscrGha	ScafKen	0.103157	43.9493	2.3e-16	1.15119e+06	744000	604856
TderCha	TspeBot	ScafKen	0.0437533	24.3709	2.3e-16	1.47043e+06	618855	566971
TderCha	TspeCam	ScafKen	0.0422614	23.0509	2.3e-16	1.47293e+06	620426	570113
TderCha	TspeCon	ScafKen	0.044265	26.3086	2.3e-16	1.47184e+06	618821	566359
TderCha	TspeDRC	ScafKen	0.0421195	23.7465	2.3e-16	1.47332e+06	620100	569975
TderCha	TspeGha	ScafKen	0.0447208	27.2296	2.3e-16	1.46545e+06	615868	563142
TderCha	TspeTan	ScafKen	0.0429572	20.8381	2.3e-16	1.47099e+06	619659	568614
TderCha	TspeZam	ScafKen	0.0420091	21.3361	2.3e-16	1.44883e+06	610068	560877
TderCha	TstrBot	ScafKen	0.0332471	20.1024	2.3e-16	1.36702e+06	616536	576859
TderCha	TstrNA-	ScafKen	0.020533	11.906	2.3e-16	1.34494e+06	606514	582108
TderCha	TstrNam	ScafKen	0.0318232	19.0226	2.3e-16	1.36624e+06	616011	578013
TderCha	TstrRSA	ScafKen	0.0334154	20.222	2.3e-16	1.35188e+06	610066	570613
TderCha	TstrTan	ScafKen	0.0334691	20.381	2.3e-16	1.36628e+06	616186	576275
TderCha	TstrZam	ScafKen	0.0336194	20.3675	2.3e-16	1.36715e+06	615830	575769
TderCha	TstrZim	ScafKen	0.0330198	20.1021	2.3e-16	1.36583e+06	615969	576591
TderUga	TderSSu	ScafKen	0.0264291	8.56181	2.3e-16	2.81405e+06	28934.5	27444.4
TderSSu	ScafKen	TimbAby	0.0339436	16.6189	2.3e-16	865174	742828	694055
TderSSu	ScafKen	TimbEth	0.0339187	16.2162	2.3e-16	862826	742749	694016
TderSSu	ScafKen	TimbKen	0.0359786	17.3913	2.3e-16	863860	743798	692135
TderSSu	ScafKen	TimbSom	0.0350274	16.745	2.3e-16	865943	743750	693410
TderSSu	ScafKen	TimbTan	0.0360296	17.3116	2.3e-16	864403	743677	691952
TderSSu	ScafKen	TimbUga	0.0369126	17.5806	2.3e-16	865819	744698	691677
TderSSu	ToryBot	ScafKen	0.00329883	1.96485	0.0494313	2.29928e+06	285214	283339
TderSSu	ToryEth	ScafKen	0.00530441	3.23334	0.00122352	2.30059e+06	285069	282061
TderSSu	ToryKen	ScafKen	0.00446748	2.74757	0.00600388	2.29303e+06	283923	281398
TderSSu	ToryNam	ScafKen	0.00517542	3.32846	0.000873269	2.30084e+06	285254	282317
TderSSu	ToryRSA	ScafKen	0.00208957	1.07996	0.280159	2.14412e+06	264861	263757
TderSSu	ToryTan	ScafKen	0.00402583	2.49889	0.0124583	2.29998e+06	285039	282753
TderSSu	ToryZam	ScafKen	0.004099	2.68562	0.00723956	2.30111e+06	284923	282596
TderSSu	ToryZim	ScafKen	0.000625019	0.399847	0.689269	2.29669e+06	285738	285381
TderSSu	TscrGha	ScafKen	0.101137	43.54	2.3e-16	1.15629e+06	743661	607055
TderSSu	TspeBot	ScafKen	0.0411321	23.2657	2.3e-16	1.47678e+06	618000	569169
TderSSu	TspeCam	ScafKen	0.0396263	21.81	2.3e-16	1.47925e+06	619567	572336
TderSSu	TspeCon	ScafKen	0.041632	24.8202	2.3e-16	1.47815e+06	617988	568589
TderSSu	TspeDRC	ScafKen	0.039481	22.4663	2.3e-16	1.47966e+06	619273	572231
TderSSu	TspeGha	ScafKen	0.0420676	25.6377	2.3e-16	1.47174e+06	615005	565350
TderSSu	TspeTan	ScafKen	0.0403271	19.7103	2.3e-16	1.47736e+06	618802	570827
TderSSu	TspeZam	ScafKen	0.0393719	20.4397	2.3e-16	1.45499e+06	609245	563088
TderSSu	TstrBot	ScafKen	0.0305298	18.3691	2.3e-16	1.37269e+06	615866	579376
TderSSu	TstrNA-	ScafKen	0.0178037	10.3056	2.3e-16	1.35051e+06	605847	584652
TderSSu	TstrNam	ScafKen	0.0291009	17.3211	2.3e-16	1.37185e+06	615369	580567
TderSSu	TstrRSA	ScafKen	0.0306763	18.3796	2.3e-16	1.3574e+06	609403	573128
TderSSu	TstrTan	ScafKen	0.0307457	18.5803	2.3e-16	1.37192e+06	615511	578791
TderSSu	TstrZam	ScafKen	0.0308974	18.5919	2.3e-16	1.37282e+06	615159	578285
TderSSu	TstrZim	ScafKen	0.0303023	18.3255	2.3e-16	1.37148e+06	615307	579113
TderUga	ScafKen	TimbAby	0.0344143	17.3182	2.3e-16	862884	742412	693013
TderUga	ScafKen	TimbEth	0.0344072	16.8478	2.3e-16	860532	742329	692945
TderUga	ScafKen	TimbKen	0.0364687	18.1148	2.3e-16	861565	743383	691070
TderUga	ScafKen	TimbSom	0.0354811	17.4135	2.3e-16	863632	743320	692380
TderUga	ScafKen	TimbTan	0.0365104	18.0146	2.3e-16	862113	743262	690900
TderUga	ScafKen	TimbUga	0.0373769	18.2527	2.3e-16	863515	744274	690641
TderUga	ToryBot	ScafKen	0.00576757	3.28665	0.00101386	2.29401e+06	286139	282858
TderUga	ToryEth	ScafKen	0.00779483	4.60406	4.1433e-06	2.29531e+06	285968	281544
TderUga	ToryKen	ScafKen	0.00696299	4.13808	3.50217e-05	2.28781e+06	284825	280886
TderUga	ToryNam	ScafKen	0.00763894	4.68421	2.81044e-06	2.29559e+06	286170	281832
TderUga	ToryRSA	ScafKen	0.00460484	2.26774	0.023345	2.13925e+06	265727	263291
TderUga	ToryTan	ScafKen	0.00650578	3.8793	0.000104756	2.29474e+06	285946	282249
TderUga	ToryZam	ScafKen	0.00657909	4.06757	4.75058e-05	2.29589e+06	285829	282092
TderUga	ToryZim	ScafKen	0.00310169	1.91253	0.0558087	2.29148e+06	286625	284853
TderUga	TscrGha	ScafKen	0.102037	44.0202	2.3e-16	1.15352e+06	743488	605809
TderUga	TspeBot	ScafKen	0.0422946	23.3384	2.3e-16	1.47327e+06	618170	568002
TderUga	TspeCam	ScafKen	0.0407976	21.9756	2.3e-16	1.47577e+06	619712	571128
