P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ToryRSA	TderCam	ScafKen	0.066316	30.2539	2.3e-16	1.70546e+06	207731	181892
ToryTan	TderCam	ScafKen	0.0653398	35.8817	2.3e-16	1.81546e+06	221313	194165
ToryZam	TderCam	ScafKen	0.0631614	32.5313	2.3e-16	1.82349e+06	221189	194908
ToryZim	TderCam	ScafKen	0.066311	32.1286	2.3e-16	1.76645e+06	218081	190957
TderCam	TscrGha	ScafKen	0.123853	45.6977	2.3e-16	889305	553432	431452
TderCam	TspeBot	ScafKen	0.0249624	12.8787	2.3e-16	1.14304e+06	443692	422080
TderCam	TspeCam	ScafKen	0.0252557	11.5161	2.3e-16	1.1493e+06	447322	425284
TderCam	TspeCon	ScafKen	0.0257776	13.5092	2.3e-16	1.14945e+06	446248	423820
TderCam	TspeDRC	ScafKen	0.0246688	11.5751	2.3e-16	1.14873e+06	446736	425226
TderCam	TspeGha	ScafKen	0.0259891	12.9002	2.3e-16	1.14446e+06	443802	421319
TderCam	TspeTan	ScafKen	0.0239524	10.793	2.3e-16	1.14421e+06	444573	423774
TderCam	TspeZam	ScafKen	0.023445	10.7826	2.3e-16	1.13126e+06	439798	419649
TstrBot	TderCam	ScafKen	0.00375164	1.45476	0.145735	1.05878e+06	445003	441676
TstrNA-	TderCam	ScafKen	0.0205446	7.61817	2.57299e-14	1.04099e+06	451765	433576
TstrNam	TderCam	ScafKen	0.00457028	1.79678	0.0723698	1.05705e+06	445050	441000
TstrRSA	TderCam	ScafKen	0.00460759	1.7615	0.0781535	1.047e+06	440918	436873
TstrTan	TderCam	ScafKen	0.00436782	1.72072	0.0853024	1.05739e+06	444775	440907
TstrZam	TderCam	ScafKen	0.00591259	2.31876	0.0204081	1.04722e+06	442000	436804
TstrZim	TderCam	ScafKen	0.00594429	2.26522	0.0234992	1.05228e+06	443739	438494
TderCha	TderSSu	ScafKen	0.0424919	13.6012	2.3e-16	2.2301e+06	28266.1	25961.9
TderCha	TderUga	ScafKen	0.0197087	5.46935	4.51694e-08	2.22561e+06	28754	27642.5
TderCha	ScafKen	TimbAby	0.0495283	18.075	2.3e-16	683802	537012	486327
TderCha	ScafKen	TimbEth	0.049139	18.0066	2.3e-16	666843	524492	475360
TderCha	ScafKen	TimbKen	0.0495922	17.9951	2.3e-16	681898	536233	485560
TderCha	ScafKen	TimbSom	0.049817	18.0376	2.3e-16	683135	537189	486206
TderCha	ScafKen	TimbTan	0.0502859	17.9223	2.3e-16	683848	537336	485882
TderCha	ScafKen	TimbUga	0.0512225	18.6969	2.3e-16	663363	522915	471955
ToryBot	TderCha	ScafKen	0.0570586	32.7735	2.3e-16	1.82253e+06	222532	198508
ToryEth	TderCha	ScafKen	0.0552879	30.5565	2.3e-16	1.83053e+06	223050	199678
ToryKen	TderCha	ScafKen	0.0576894	32.2672	2.3e-16	1.79639e+06	219454	195514
ToryNam	TderCha	ScafKen	0.0567721	30.1655	2.3e-16	1.82972e+06	223516	199500
ToryRSA	TderCha	ScafKen	0.0604147	28.2665	2.3e-16	1.70957e+06	209594	185711
ToryTan	TderCha	ScafKen	0.0592068	34.0414	2.3e-16	1.82031e+06	223175	198225
ToryZam	TderCha	ScafKen	0.0570567	31.38	2.3e-16	1.82848e+06	223028	198951
ToryZim	TderCha	ScafKen	0.0601625	30.1579	2.3e-16	1.7708e+06	219938	194976
TderCha	TscrGha	ScafKen	0.125652	46.4693	2.3e-16	892861	558369	433712
TderCha	TspeBot	ScafKen	0.027594	14.3232	2.3e-16	1.14762e+06	448296	424220
TderCha	TspeCam	ScafKen	0.0278459	12.7995	2.3e-16	1.15411e+06	451931	427444
TderCha	TspeCon	ScafKen	0.0283757	14.9313	2.3e-16	1.15433e+06	450771	425895
TderCha	TspeDRC	ScafKen	0.0272673	12.8976	2.3e-16	1.15355e+06	451301	427342
TderCha	TspeGha	ScafKen	0.0286031	14.3596	2.3e-16	1.14918e+06	448424	423484
TderCha	TspeTan	ScafKen	0.0265568	12.122	2.3e-16	1.14886e+06	449254	426010
TderCha	TspeZam	ScafKen	0.0260051	12.0255	2.3e-16	1.13608e+06	444291	421769
TstrBot	TderCha	ScafKen	0.00121793	0.481935	0.629852	1.06378e+06	447408	446319
TstrNA-	TderCha	ScafKen	0.018044	6.84153	7.83519e-12	1.04582e+06	454239	438137
TstrNam	TderCha	ScafKen	0.00204701	0.822678	0.410691	1.06218e+06	447419	445591
TstrRSA	TderCha	ScafKen	0.00209497	0.820221	0.41209	1.0523e+06	443236	441383
TstrTan	TderCha	ScafKen	0.00186758	0.755509	0.449944	1.06234e+06	447268	445600
TstrZam	TderCha	ScafKen	0.00339538	1.36275	0.172962	1.05229e+06	444348	441340
TstrZim	TderCha	ScafKen	0.00345653	1.34918	0.17728	1.05724e+06	446202	443128
TderUga	TderSSu	ScafKen	0.0238124	7.57124	3.69688e-14	2.2365e+06	25496	24310
TderSSu	ScafKen	TimbAby	0.0489169	17.9114	2.3e-16	686834	537047	486956
TderSSu	ScafKen	TimbEth	0.0484109	17.7611	2.3e-16	669734	524477	476041
