P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TderCha	ToryNam2	ScafKen	0.0105497	6.74093	1.57375e-11	2.2912e+06	287562	281558
TderCha	ToryRSA	ScafKen	0.0077	3.98314	6.80099e-05	2.13525e+06	267060	262978
TderCha	ToryTan1	ScafKen	0.00985165	6.118	9.47557e-10	2.29066e+06	287429	281821
TderCha	ToryTan2	ScafKen	0.00938036	5.61432	1.97332e-08	2.29022e+06	287304	281964
TderCha	ToryZam1	ScafKen	0.00968106	6.28556	3.26684e-10	2.29141e+06	287236	281728
TderCha	ToryZam2	ScafKen	0.00970382	6.21259	5.21189e-10	2.29172e+06	287256	281735
TderCha	ToryZim1	ScafKen	0.00711697	4.64174	3.45484e-06	2.28851e+06	287995	283924
TderCha	ToryZim2	ScafKen	0.0051992	3.24296	0.00118295	2.28551e+06	288164	285183
TderCha	TscrGha	ScafKen	0.103157	43.9493	2.3e-16	1.15119e+06	744000	604856
TderCha	TspeBot	ScafKen	0.0437533	24.3709	2.3e-16	1.47043e+06	618855	566971
TderCha	TspeCam	ScafKen	0.0422614	23.0509	2.3e-16	1.47293e+06	620426	570113
TderCha	TspeCon	ScafKen	0.044265	26.3086	2.3e-16	1.47184e+06	618821	566359
TderCha	TspeDRC	ScafKen	0.0421195	23.7465	2.3e-16	1.47332e+06	620100	569975
TderCha	TspeGha	ScafKen	0.0447208	27.2296	2.3e-16	1.46545e+06	615868	563142
TderCha	TspeTan	ScafKen	0.0429572	20.8381	2.3e-16	1.47099e+06	619659	568614
TderCha	TspeZam	ScafKen	0.0420091	21.3361	2.3e-16	1.44883e+06	610068	560877
TderCha	TstrBot	ScafKen	0.0332471	20.1024	2.3e-16	1.36702e+06	616536	576859
TderCha	TstrNA-	ScafKen	0.020533	11.906	2.3e-16	1.34494e+06	606514	582108
TderCha	TstrNam	ScafKen	0.0318232	19.0226	2.3e-16	1.36624e+06	616011	578013
TderCha	TstrRSA	ScafKen	0.0334154	20.222	2.3e-16	1.35188e+06	610066	570613
TderCha	TstrTan	ScafKen	0.0334691	20.381	2.3e-16	1.36628e+06	616186	576275
TderCha	TstrZam	ScafKen	0.03338	20.0255	2.3e-16	1.36555e+06	615833	576048
TderCha	TstrZam1	ScafKen	0.0334815	20.2082	2.3e-16	1.35842e+06	610567	571006
TderCha	TstrZim	ScafKen	0.0330198	20.1021	2.3e-16	1.36583e+06	615969	576591
TderUga	TderSSu	ScafKen	0.0264291	8.56181	2.3e-16	2.81405e+06	28934.5	27444.4
TderSSu	ScafKen	TimbAby	0.0339436	16.6189	2.3e-16	865174	742828	694055
TderSSu	ScafKen	TimbEth	0.0339187	16.2162	2.3e-16	862826	742749	694016
TderSSu	ScafKen	TimbKen	0.0359786	17.3913	2.3e-16	863860	743798	692135
TderSSu	ScafKen	TimbSom	0.0350274	16.745	2.3e-16	865943	743750	693410
TderSSu	ScafKen	TimbTan	0.0360296	17.3116	2.3e-16	864403	743677	691952
TderSSu	ScafKen	TimbUga	0.0369126	17.5806	2.3e-16	865819	744698	691677
TderSSu	ToryBot1	ScafKen	0.00203303	1.22707	0.219797	2.29833e+06	285131	283974
TderSSu	ToryBot2	ScafKen	0.00459609	2.69004	0.00714426	2.30025e+06	285298	282688
TderSSu	ToryEth1	ScafKen	0.00581283	3.48398	0.000494021	2.3003e+06	285088	281793
TderSSu	ToryEth2	ScafKen	0.00487323	2.96778	0.00299958	2.29993e+06	284961	282198
TderSSu	ToryKen1	ScafKen	0.00409641	2.41347	0.0158016	2.25474e+06	279124	276846
TderSSu	ToryKen2	ScafKen	0.00128419	0.669859	0.502947	1.96485e+06	246621	245989
TderSSu	ToryNam1	ScafKen	0.00537036	3.44276	0.000575813	2.3009e+06	285293	282245
TderSSu	ToryNam2	ScafKen	0.00498065	3.19799	0.00138388	2.30077e+06	285217	282390
TderSSu	ToryRSA	ScafKen	0.00208957	1.07996	0.280159	2.14412e+06	264861	263757
TderSSu	ToryTan1	ScafKen	0.00425842	2.67869	0.00739104	2.30022e+06	285088	282670
TderSSu	ToryTan2	ScafKen	0.00377868	2.30361	0.0212444	2.29973e+06	284984	282838
TderSSu	ToryZam1	ScafKen	0.00409487	2.69453	0.00704885	2.30091e+06	284904	282580
TderSSu	ToryZam2	ScafKen	0.00411419	2.63065	0.00852221	2.30125e+06	284921	282586
TderSSu	ToryZim1	ScafKen	0.00150837	0.980429	0.326874	2.2981e+06	285653	284793
ToryZim2	TderSSu	ScafKen	0.000386785	0.240989	0.809564	2.29505e+06	286061	285839
TderSSu	TscrGha	ScafKen	0.101137	43.54	2.3e-16	1.15629e+06	743661	607055
TderSSu	TspeBot	ScafKen	0.0411321	23.2657	2.3e-16	1.47678e+06	618000	569169
TderSSu	TspeCam	ScafKen	0.0396263	21.81	2.3e-16	1.47925e+06	619567	572336
TderSSu	TspeCon	ScafKen	0.041632	24.8202	2.3e-16	1.47815e+06	617988	568589
TderSSu	TspeDRC	ScafKen	0.039481	22.4663	2.3e-16	1.47966e+06	619273	572231
TderSSu	TspeGha	ScafKen	0.0420676	25.6377	2.3e-16	1.47174e+06	615005	565350
TderSSu	TspeTan	ScafKen	0.0403271	19.7103	2.3e-16	1.47736e+06	618802	570827
TderSSu	TspeZam	ScafKen	0.0393719	20.4397	2.3e-16	1.45499e+06	609245	563088
TderSSu	TstrBot	ScafKen	0.0305298	18.3691	2.3e-16	1.37269e+06	615866	579376
TderSSu	TstrNA-	ScafKen	0.0178037	10.3056	2.3e-16	1.35051e+06	605847	584652
TderSSu	TstrNam	ScafKen	0.0291009	17.3211	2.3e-16	1.37185e+06	615369	580567
TderSSu	TstrRSA	ScafKen	0.0306763	18.3796	2.3e-16	1.3574e+06	609403	573128
